ID,DAM,LAKE,STREAM,CAPACITY (AF),Lat,Long
HID,Hidden,Hensley Lake,Fresno River,90000,37.109559,-119.885255
MEA,Hoover,Lake Mead,Colorado River,26159008,36.016,-114.736
HNT,Huntington,Huntington Lake,San Joaquin River,89800,37.22757,-119.220482
ICH,Ice House,Ice House Reservoir,S Fork Silver Creek,43496,38.824,-120.359
INP,Independence,Independence Lake,Independence Creek,17295,39.452,-120.29
INL,Independence,Independence Lake,Independence Creek,17500,39.45,-120.283
MMW,Indian Ole,Mountain Meadows,N Fork Feather River Tributary,24800,40.283,-121.017
INV,Indian Valley,Indian Valley Reservoir,Cache Creek Tributary,300000,39.083,-122.533
IRC,Iron Canyon,Iron Canyon Reservoir,Pit River Tribuatary,24300,41.045,-121.981
ISB,Isabella,Lake Isabella,Kern River,568000,35.646,-118.473
JCK,Jackson Meadows,Jackson Meadows Res,M Fork Yuba River,69205,39.509,-120.552
ATN,James H Turner,Lake San Antonio,Salinas River Tributary,331060,35.798,-120.883
LNG,James J Lenihan,Lexington Reservoir,Los Gatos Creek,18534,37.202,-121.988
JML,Juncal,Jameson Lake,Santa Ynez River,4968,34.492,-119.507
JNC,Junction,Junction Reservoir,Silver Creek,3250,38.853,-120.453
KNT,Kent,Kent Lake,Lagunitas Creek,32900,37.997,-122.702
KKR,Kerckhoff,Kerckhoff Reservoir,San Joaquin,4200,37.12811,-119.52553
KES,Keswick,Keswick Reservoir,Sacramento River,23772,40.612104,-122.445699
LGR,La Grange,La Grange Reservoir,Tuolumne River,500,37.667,-120.462
LFY,Lafayette,Lafayette,Lafayette Creek,4250,37.885,-122.138
LGT,Lagunitas,Lagunitas Lake,Lagunitas Creek,341,37.947,-122.597
LEA,Lake Alpine,Lake Alpine,Silver Creek,4600,38.47139,-120.002777
LKF,Lake Fordyce near Cisco,Lake Fordyce,Fordyce Creek,48900,39.37889,-120.49444
HMT,Lake Hemet,Lake Hemet,San Jacinto River,14000,33.666,-116.705
HDG,Lake Hodges,Lake Hodges,San Dieguito River,30251,33.046,-117.128
LVD,Lake Loveland,Lake Loveland,Sweetwater River,25400,32.779,-116.792
THC,Lake Tahoe,Lake Tahoe,Truckee River,732000,39.182,-120.119
LVY,Lake Valley,Lake Valley Reservoir,N Fork American River,8127,39.3,-120.583
LRA,Leroy Anderson,Anderson Reservoir,Coyote Creek,89278,37.165,-121.632
LEW,Lewiston,Lewiston Lake,Trinity River,14660,40.727,-122.793
LGV,Little Grass Valley,Little Grass Valley Reservoir,S Fork Feather River,93010,39.724,-121.019
LRK,Littlerock,Littlerock Reservoir,Littlerock Creek,4600,34.485,-118.022
CRW,Long Valley,Lake Crowley,Owens River,183465,37.604,-118.707
LON,Loon Lake,Loon Lake,Rubicon River Tributary,69306,38.983,-120.323
LOP,Lopez Lake,Lopez Lake,Arroyo Grande Creek,49388,35.188,-120.487
LBS,Los Banos,Los Banos Reservoir,San Joaquin River,34600,36.994,-120.93
LVQ,Los Vaqueros,Los Vaqueros Reservoir,Kellogg Creek,160000,37.838,-121.726
LWB,Lower Bear River,Lower Bear Reservoir,Bear River,48750,38.538,-120.257
CRY,Lower Crystal Springs,Crystal Springs Reservoir,San Mateo Creek,68865,37.515278,-122.355833
HHL,Lower Hell Hole,Hell Hole Reservoir,Rubicon River,207600,39.058,-120.407
LYS,Lyons,Lyons Reservoir,S Fork Stanislaus River,6228,38.094,-120.166
SWB,Main Strawberry,Pinecrest Lake,S Fork Stanislaus,18312,38.2,-119.983
MPL,Mammoth Pool,Mammoth Pool Reservoir,San Joaquin River,123000,37.329,-119.328
MAR,Mariposa Creek,Mariposa Creek Dam,Mariposa Creek,15000,37.292,-120.147
EDN,Mark Edson,Stumpy Meadows Lake,Rubicon River,20000,38.903,-120.603
MRT,Martis Creek,Martis Creek Reservoir,Martis Creek,20400,39.327,-120.113
MAT,Matilija,Matilija Reservoir,Matilija Creek,1800,34.486,-119.307
MHW,Matthews,Lake Matthews,De Luz Creek Tributary,179300,33.833,-117.46
MCO,McCloud,McCloud Reservoir,McCloud River,35300,41.135,-122.074
MCS,McSwain,Lake McSwain,Merced River,9730,37.52,-120.309
MMR,Miramar,Lake Miramar,San Diego River,6682,32.915454,-117.098879
MDO,Modesto Reservoir,Modesto Reservoir,Tuolumne River,29000,37.657,-120.675
BER,Montecello,Lake Berryessa,Putah Creek,1602000,38.513,-122.104
MOR,Morena,Morena Lake,Cottonwood Creek,50694,32.683,-116.55
MRR,Murray,Murray Reservoir,Chaparral Canyon,4684,32.782,-117.047
NCM,Nacimiento,Lake Nacimiento,Nacimiento River,382770,35.758,-120.884
NAT,Natoma,Lake Natoma,American River,9000,38.636145,-121.220039
BUL,New Bullards Bar,New Bullards Bar Reservoir,N Fork Yuba River,966000,39.393,-121.14
MCR,New Exchequer,Lake McClure,Merced River,1024600,39.282206,-123.300137
EXC,New Exchequer,Lake McClure,Merced River,1024600,37.585,-120.27
NHG,New Hogan,New Hogan Lake,Calaveras River,317000,38.152,-120.812
NML,New Melones,New Melones Reservoir,Stanislaus River,2400000,37.9481,-120.525,https://en.wikipedia.org/wiki/New_Melones_Lake
SPM,New Spicer Meadow,New Spicer Meadow Reservoir,N Fork Stanislaus River,189000,38.393333,-119.9969
NWL,Newell Creek,Loch Lomond Reservoir,Newell Creek,8991,37.103,-122.072
NCA,Nicasio,Nicasio Reservoir,Nicasio Creek,22400,38.075,-122.757
ONF,O Neill Forebay,O'Neill Forebay,San Luis Creek,56400,37.067,-121.067
HTH,O Shanessey,Hetch-Hetchy Reservoir,Tuolumne River,360000,37.95,-119.783
OLH,Olivenhain,Olivenhain Reservoir,Escondido Creek,24000,33.074044,-117.138333
ORO,Oroville,Lake Oroville,Feather River,3424753,39.54,-121.493,https://en.wikipedia.org/wiki/Lake_Oroville
LOT,Otay,Lower Otay,Otay River,49849,32.609,-116.927
OWN,Owens Creek,Owens Creek Dam,Owens Creek,3600,37.282,-120.187
PAR,Pardee,Pardee Reservoir,Mokelumne River,203795,38.25,-120.85
HVS,Parker Dam,Lake Havasu,Colorado River,648000,34.317,-114.156
PRR,Perris,Lake Perris,none,131452,33.858,-117.183
PNF,Pine Flat,Pine Flat Dam,Kings River,1000000,36.833,-119.325
PT6,Pit 6 Reservoir,Pit 6 Reservoir,Pit River,15890,40.923,-121.994
PT7,Pit 7 Reservoir,Pit 7 Reservoir,Pit River,34610,40.8494,-121.99065
BIT,Pit Number 3,Lake Britton,Pit River,40620,41.022,-121.676
PVP,Potter Valley PH,none,EF Russian River,null,39.367,-123.133
PRA,Prado,Prado Reservoir,Santa Ana River,314400,33.89,-117.643
PRS,Prosser,Prosser Reservoir,Prosser Creek,29800,39.3794,-120.1367
PYM,Pyramid,Pyramid Lake,Piru Creek,180000,34.644153,-118.764528
QUL,Quail,Quail Lake,none,5654,34.771605,-118.746191
RLC,Railroad Canyon,Railroad Canyon Reservoir,San Jacinto River,11847,33.675,-117.272
RDN,Redinger,Redinger Lake,San Joaquin River,35000,37.145,-119.449
RLF,Relief,Relief Reservoir,M Fork Stanislaus River,15554,38.267,-119.733
RLL,Rollins,Rollins Reservoir,Bear River,66000,39.135,-120.948
RBL,Rubicon Lake,Rubicon Lake,Rubicon River,1450,38.967,-120.217
RTD,Ruth,Ruth Lake,Mad River,61000,40.367,-123.433
SDB,Saddlebag,Saddlebag Lake,Lee Vining Creek,9465,37.966,-119.272
SLN,Salinas,Santa Margarita Lake,Salinas River,26000,35.333,-120.502
SLS,Salt Springs,Salt Springs Reservoir,N Fork Mokelumne River,141900,38.497,-120.216
SNN,San Andreas,San Andreas Lake,San Mateo Creek Tributary,19027,37.580161,-122.413281
SAT,San Antonio,San Antonio Reservoir,Alameda Creek Tributary,50500,37.573,-121.848
SGB,San Gabriel No. 1,San Gabriel Reservoir,San Gabriel,44440,34.207,-117.858
LUS,San Luis,San Luis Reservoir (SWP),San Luis Creek,1062000,37.001,-121.002
SLF,San Luis,San Luis Reservoir (CVP),San Luis Creek,971000,37.001,-121.002
SNL,San Luis,San Luis Reservoir,San Luis Creek,2041000,37.033,-121.133,https://en.wikipedia.org/wiki/San_Luis_Reservoir
SPB,San Pablo,San Pablo Reservoir,San Pablo,43193,37.9423,-122.2587
SVT,San Vicente,San Vicente Reservoir,San Vicente Creek,249358,32.912,-116.924
PRU,Santa Felicia,Lake Piru,Piru Creek,83244,34.461,-118.751
SGC,Santiago Creek,Irvine Lake,Santiago Creek,25000,33.785,-117.723
LPY,Scott Dam,Lake Pillsbury,Eel River,80500,39.4083,-122.9583
SCD,Scott Dam,Lake Pillsbury,Eel River,80500,39.4083,-122.9586
SFL,Scotts Flat,Scotts Flat Reservoir,Deer Creek,49000,39.274,-120.917
SVO,Seven Oaks Reservoir,Seven Oaks Reservoir,Santa Ana River,145600,34.1178,-117.0978
SHA,Shasta,Lake Shasta,Sacramento River,4552000,40.718,-122.42,https://en.wikipedia.org/wiki/Shasta_Lake
SHV,Shaver,Shaver Lake,San Joaquin River,135283,37.145,-119.302
SIV,Silver,Silver Lake,Silver Fork American River,8640,38.669,-120.121
SKN,Skinner Clearwell,Skinner Lake,none,43800,33.583,-117.072
SLB,Slab Creek,Slab Creek Reservoir,S Fork American River,16600,38.7725,-120.6994
SLC,Sly Creek,Sly Creek Reservoir,Lost Creek,65050,39.584,-121.116
JNK,Sly Park,Jenkinson Lake,Cosumnes River,41000,38.713,-120.56
SOL,Solano,Lake Solano,Putah Creek,720,38.5,-122.0
SLJ,Soulajule,Soulajule,San Francisco Bay,10700,38.153,-122.782
SKR,South Lake,South Lake,Bishop Creek,12900,37.16602,-118.56954
SLK,South Lake,South Lake,Bishop Creek,12900,37.175903,-118.56266
SPG,Spaulding,Spaulding Lake,S Fork Yuba River,74773,39.329,-120.641
SPC,Spring Creek,Spring Creek Debris Dam,Spring Creek,5874,40.629,-122.474
STP,Stampede,Stampede Lake,Little Truckee River,226500,39.471,-120.103
SWV,Statewide Storage Estimate 154,Total,none,38102000,38.582,-121.5
SEC,Stevens Creek,Stevens Creek Reservoir,Stevens Creek,3056,37.298,-122.077
STG,Stony Gorge,Stony Gorge Reservoir,Stony Creek,50000,39.583,-122.533
SCC,Success,Lake Success,Tule River,82300,36.056667,-118.924167
